Timestamp,FPS,Inference_ms,Angle,Jitter,CPU_Usage
1772681640.288,29.7,17.1,96.03,2.567,0.0
1772681640.332,22.6,22.1,0.00,0.000,0.0
1772681640.363,32.9,21.3,94.59,1.438,0.0
1772681640.396,30.1,21.3,0.00,0.000,0.0
1772681640.421,39.7,17.0,0.00,0.000,0.0
1772681640.451,33.1,16.0,94.77,0.184,0.0
1772681640.483,31.1,16.1,93.89,0.887,0.0
1772681640.515,31.3,16.9,94.60,0.714,0.0
1772681640.558,23.4,15.6,94.65,0.051,0.0
1772681640.585,37.4,17.1,95.93,1.284,0.0
1772681640.629,22.6,15.6,94.24,1.697,0.0
1772681640.654,40.3,16.2,95.58,1.347,0.0
1772681640.683,34.0,15.7,96.01,0.426,0.0
1772681640.718,29.1,15.5,95.93,0.084,0.0
1772681640.748,33.1,15.5,0.00,0.000,0.0
1772681640.791,23.0,16.6,0.00,0.000,0.0
1772681640.818,37.5,16.7,95.44,0.481,0.0
1772681640.852,29.0,16.2,94.94,0.501,0.0
1772681640.885,31.1,16.0,94.84,0.107,0.0
1772681640.916,31.9,15.5,0.00,0.000,0.0
1772681640.957,24.4,15.3,0.00,0.000,0.0
1772681640.984,37.1,15.4,0.00,0.000,0.0
1772681641.018,29.6,15.9,0.00,0.000,0.0
1772681641.061,23.2,17.7,0.00,0.000,0.0
1772681641.088,36.3,15.8,0.00,0.000,0.0
1772681641.124,28.3,15.0,0.00,0.000,0.0
1772681641.150,37.4,15.2,0.00,0.000,0.0
1772681641.196,22.0,15.3,0.00,0.000,0.0
1772681641.219,43.7,15.1,0.00,0.000,0.0
1772681641.249,32.9,15.3,0.00,0.000,0.0
1772681641.293,22.8,17.2,0.00,0.000,0.0
1772681641.318,39.8,15.8,0.00,0.000,0.0
1772681641.353,29.0,15.8,0.00,0.000,0.0
1772681641.383,32.8,16.1,0.00,0.000,0.0
1772681641.415,30.9,16.1,0.00,0.000,0.0
1772681641.452,27.1,15.3,0.00,0.000,0.0
1772681641.488,28.3,16.1,0.00,0.000,0.0
1772681641.518,33.5,16.4,0.00,0.000,0.0
1772681641.550,31.2,15.3,0.00,0.000,0.0
1772681641.583,30.2,15.3,0.00,0.000,0.0
1772681641.620,26.8,15.3,0.00,0.000,0.0
1772681641.656,27.6,15.5,0.00,0.000,0.0
1772681641.695,25.5,15.2,0.00,0.000,0.0
1772681641.725,34.1,15.9,0.00,0.000,0.0
1772681641.750,38.9,16.2,0.00,0.000,0.0
1772681641.792,24.1,16.0,0.00,0.000,0.0
1772681641.817,39.3,15.5,95.68,0.845,0.0
1772681641.853,28.0,15.7,0.00,0.000,0.0
1772681641.894,24.6,16.0,94.74,0.938,0.0
1772681641.920,38.2,17.8,95.33,0.591,0.0
1772681641.962,23.4,19.7,0.00,0.000,0.0
1772681641.991,35.4,20.8,94.26,1.071,0.0
1772681642.031,24.7,20.8,0.00,0.000,0.0
1772681642.062,32.9,20.4,0.00,0.000,0.0
1772681642.093,31.9,20.8,0.00,0.000,0.0
1772681642.140,21.3,29.9,0.00,0.000,0.0
1772681642.171,32.6,21.2,0.00,0.000,0.0
1772681642.200,34.0,19.4,0.00,0.000,0.0
1772681642.230,33.4,20.0,0.00,0.000,0.0
1772681642.259,33.9,21.0,0.00,0.000,0.0
1772681642.299,25.3,22.0,0.00,0.000,0.0
1772681642.331,31.5,19.9,0.00,0.000,0.0
1772681642.361,32.7,20.6,0.00,0.000,0.0
1772681642.396,29.0,20.6,0.00,0.000,0.0
1772681642.424,35.8,17.3,95.35,1.085,0.0
1772681642.459,28.3,17.9,0.00,0.000,0.0
1772681642.486,37.0,16.8,98.19,2.842,0.0
1772681642.521,28.4,15.8,95.44,2.745,0.0
1772681642.552,32.3,15.8,96.16,0.720,0.0
1772681642.589,27.0,15.7,95.53,0.637,0.0
1772681642.623,30.1,15.4,93.44,2.093,0.0
1772681642.651,35.5,15.3,92.51,0.924,0.0
1772681642.686,28.8,15.3,94.97,2.456,0.0
1772681642.727,23.9,15.8,93.56,1.405,0.0
1772681642.751,43.1,15.3,93.61,0.049,0.0
1772681642.797,21.4,15.4,94.37,0.761,0.0
1772681642.821,42.4,15.6,93.31,1.060,0.0
1772681642.854,30.5,15.2,91.17,2.137,0.0
1772681642.908,18.4,24.2,94.38,3.209,0.0
1772681642.931,43.1,15.5,94.55,0.165,0.0
1772681642.958,36.6,16.1,93.59,0.958,0.0
1772681642.986,36.5,15.8,94.01,0.417,0.0
1772681643.019,29.8,16.3,93.17,0.839,0.0
1772681643.052,30.5,17.0,92.69,0.475,0.0
1772681643.084,31.8,16.7,93.91,1.221,0.0
1772681643.120,27.5,15.0,94.43,0.513,0.0
1772681643.153,30.0,15.2,92.60,1.821,0.0
1772681643.191,26.7,16.1,94.33,1.725,0.0
1772681643.219,35.0,16.1,91.74,2.587,0.0
1772681643.264,22.5,16.5,94.56,2.819,0.0
1772681643.289,39.9,16.7,93.50,1.057,0.0
1772681643.318,34.2,16.1,94.10,0.594,0.0
1772681643.359,24.2,15.7,94.14,0.041,0.0
1772681643.386,38.2,15.7,94.69,0.555,0.0
1772681643.420,28.7,15.5,96.13,1.438,0.0
1772681643.454,30.0,15.4,96.36,0.227,0.0
1772681643.488,29.3,15.4,97.44,1.080,0.0
1772681643.525,27.1,17.0,96.86,0.581,0.0
1772681643.553,35.6,16.9,97.52,0.664,0.0
1772681643.598,22.2,16.3,98.29,0.767,0.0
1772681643.622,42.4,15.3,0.00,0.000,0.0
1772681643.651,33.5,15.7,0.00,0.000,0.0
1772681643.712,16.5,27.2,0.00,0.000,0.0
1772681643.736,41.3,16.3,0.00,0.000,0.0
1772681643.759,44.3,17.0,95.94,2.346,0.0
1772681643.787,35.7,16.0,0.00,0.000,0.0
1772681643.818,32.2,15.5,0.00,0.000,0.0
1772681643.859,24.4,15.3,0.00,0.000,0.0
1772681643.888,33.9,15.2,0.00,0.000,0.0
1772681643.943,18.4,24.9,0.00,0.000,0.0
1772681643.967,41.5,16.5,0.00,0.000,0.0
1772681643.991,42.2,15.5,0.00,0.000,0.0
1772681644.026,28.3,15.5,0.00,0.000,0.0
1772681644.054,35.4,16.1,98.87,2.921,0.0
1772681644.087,30.1,15.4,0.00,0.000,0.0
1772681644.127,25.1,15.0,0.00,0.000,0.0
1772681644.153,38.4,15.8,0.00,0.000,0.0
1772681644.194,24.9,15.3,0.00,0.000,0.0
1772681644.220,38.1,16.1,0.00,0.000,0.0
1772681644.261,24.4,15.1,0.00,0.000,0.0
1772681644.301,25.2,30.6,0.00,0.000,0.0
1772681644.324,42.1,15.7,0.00,0.000,0.0
1772681644.359,28.4,15.6,0.00,0.000,0.0
1772681644.387,36.5,15.9,0.00,0.000,0.0
1772681644.421,29.4,15.3,0.00,0.000,0.0
1772681644.461,25.1,15.1,0.00,0.000,0.0
1772681644.486,40.2,15.6,99.23,0.369,0.0
1772681644.526,24.6,15.5,0.00,0.000,0.0
1772681644.553,37.5,16.0,96.95,2.282,0.0
1772681644.606,18.8,31.0,0.00,0.000,0.0
1772681644.628,44.7,16.6,0.00,0.000,0.0
1772681644.657,35.2,15.8,0.00,0.000,0.0
1772681644.694,27.2,15.7,0.00,0.000,0.0
1772681644.723,33.8,15.0,0.00,0.000,0.0
1772681644.758,28.4,15.2,0.00,0.000,0.0
1772681644.793,29.0,15.5,0.00,0.000,0.0
1772681644.820,37.0,16.9,98.34,1.388,0.0
1772681644.858,25.9,16.6,0.00,0.000,0.0
1772681644.887,35.3,16.4,0.00,0.000,0.0
