Timestamp,FPS,Inference_ms,Angle,Jitter,CPU_Usage
1772678444.292,15.7,49.0,99.02,4.725,0.0
1772678444.355,15.9,49.0,104.20,5.186,0.0
1772678444.437,12.1,69.6,105.77,1.566,0.0
1772678444.524,11.6,68.8,104.40,1.372,0.0
1772678444.608,11.8,67.7,105.14,0.748,0.0
1772678444.673,15.5,51.8,103.24,1.908,0.0
1772678444.736,15.9,48.9,101.17,2.070,0.0
1772678444.796,16.6,47.1,101.74,0.572,0.0
1772678444.856,16.6,47.3,102.51,0.774,0.0
1772678444.925,14.6,55.7,105.99,3.474,0.0
1772678444.989,15.6,48.9,107.93,1.942,0.0
1772678445.051,16.1,48.3,103.47,4.462,0.0
1772678445.112,16.4,47.9,104.31,0.840,0.0
1772678445.173,16.4,48.1,104.53,0.226,0.0
1772678445.237,15.6,50.0,101.24,3.292,0.0
1772678445.300,15.8,50.2,103.88,2.636,0.0
1772678445.363,15.9,49.4,102.83,1.048,0.0
1772678445.426,16.0,49.2,103.99,1.157,0.0
1772678445.503,12.9,64.4,104.24,0.250,0.0
1772678445.568,15.4,51.6,104.52,0.282,0.0
1772678445.630,16.1,48.6,102.15,2.370,0.0
1772678445.699,14.6,53.4,100.86,1.291,0.0
1772678445.767,14.6,53.1,101.68,0.829,0.0
1772678445.855,11.4,66.4,103.17,1.484,0.0
1772678445.920,15.4,50.8,99.70,3.467,0.0
1772678445.987,14.8,54.4,97.53,2.176,0.0
1772678446.053,15.1,52.5,103.06,5.536,0.0
1772678446.115,16.2,48.5,106.38,3.319,0.0
1772678446.179,15.7,50.4,99.40,6.984,0.0
1772678446.259,12.4,63.8,105.31,5.913,0.0
1772678446.323,15.8,50.2,103.48,1.828,0.0
1772678446.385,16.2,48.8,107.45,3.971,0.0
1772678446.455,14.3,54.6,107.56,0.103,0.0
1772678446.519,15.6,51.1,105.10,2.451,0.0
1772678446.610,11.0,74.1,104.82,0.283,0.0
1772678446.681,14.0,56.3,97.53,7.287,0.0
1772678446.742,16.3,48.4,100.67,3.136,0.0
1772678446.805,16.1,48.6,102.25,1.584,0.0
1772678446.866,16.2,48.0,104.62,2.365,0.0
1772678446.929,16.0,48.2,106.90,2.280,0.0
1772678446.996,14.8,51.6,102.65,4.253,0.0
1772678447.059,16.0,49.1,105.19,2.546,0.0
1772678447.123,15.4,52.2,107.35,2.154,0.0
1772678447.188,15.6,50.8,105.26,2.090,0.0
1772678447.251,15.7,51.0,102.81,2.441,0.0
1772678447.313,16.1,48.8,104.52,1.704,0.0
1772678447.375,16.3,47.9,108.21,3.693,0.0
1772678447.457,12.2,68.2,102.42,5.795,0.0
1772678447.518,16.5,47.9,94.42,8.002,0.0
1772678447.585,15.0,53.6,105.08,10.660,0.0
1772678447.656,14.0,55.7,108.01,2.930,0.0
1772678447.741,11.7,72.1,107.47,0.540,0.0
1772678447.802,16.4,48.2,107.94,0.476,0.0
1772678447.867,15.6,51.2,106.18,1.761,0.0
1772678447.930,15.8,49.2,102.94,3.242,0.0
1772678448.014,11.8,67.3,118.08,15.145,0.0
1772678448.073,16.9,46.3,107.76,10.323,0.0
1772678448.135,16.3,47.6,103.69,4.067,0.0
1772678448.227,10.8,77.7,111.50,7.803,0.0
1772678448.294,15.0,52.7,108.24,3.258,0.0
1772678448.364,14.2,55.7,107.23,1.011,0.0
1772678448.434,14.4,55.4,100.16,7.074,0.0
1772678448.498,15.5,50.3,101.34,1.189,0.0
1772678448.559,16.4,47.6,101.90,0.554,0.0
1772678448.627,14.7,55.0,106.40,4.503,0.0
1772678448.690,16.0,49.7,112.75,6.345,0.0
1772678448.781,10.9,75.6,101.66,11.089,0.0
1772678448.863,12.3,68.4,113.11,11.449,0.0
1772678448.928,15.5,51.1,101.80,11.306,0.0
1772678448.995,14.9,54.4,104.09,2.285,0.0
1772678449.061,15.2,51.1,103.62,0.467,0.0
1772678449.140,12.6,65.1,104.12,0.500,0.0
1772678449.219,12.6,63.9,110.02,5.902,0.0
1772678449.283,15.7,50.6,105.53,4.491,0.0
1772678449.342,17.1,45.6,112.63,7.098,0.0
1772678449.413,13.9,58.5,106.79,5.842,0.0
1772678449.476,16.0,49.7,111.43,4.640,0.0
1772678449.537,16.5,47.7,121.47,10.048,0.0
1772678449.599,16.0,48.6,111.48,9.999,0.0
1772678449.664,15.5,51.1,106.61,4.864,0.0
1772678449.729,15.4,50.8,126.89,20.281,0.0
1772678449.792,15.8,50.1,116.66,10.232,0.0
1772678449.857,15.3,50.6,125.53,8.868,0.0
1772678449.920,16.1,49.0,119.65,5.876,0.0
1772678449.982,16.0,49.4,125.54,5.883,0.0
1772678450.046,15.8,50.2,101.40,24.137,0.0
1772678450.130,11.8,70.6,100.75,0.644,0.0
1772678450.191,16.5,47.6,109.50,8.743,0.0
1772678450.271,12.5,66.7,113.18,3.684,0.0
1772678450.346,13.3,57.5,97.80,15.382,0.0
1772678450.414,14.8,51.6,101.72,3.918,0.0
1772678450.482,14.7,54.0,111.08,9.365,0.0
1772678450.547,15.3,52.6,114.03,2.946,0.0
1772678450.611,15.6,49.7,110.75,3.281,0.0
1772678450.677,15.3,50.9,105.55,5.196,0.0
1772678450.739,16.0,48.5,108.26,2.709,0.0
1772678450.802,16.0,48.2,115.96,7.700,0.0
1772678450.866,15.5,51.1,110.88,5.078,0.0
1772678450.933,15.0,52.0,111.03,0.149,0.0
1772678450.997,15.6,49.2,106.83,4.205,0.0
1772678451.062,15.4,51.8,104.74,2.093,0.0
1772678451.127,15.3,52.1,104.27,0.469,0.0
1772678451.210,12.0,70.7,104.02,0.250,0.0
1772678451.271,16.4,46.7,102.94,1.080,0.0
1772678451.351,12.5,63.0,104.80,1.869,0.0
1772678451.436,11.8,68.8,102.75,2.055,0.0
1772678451.500,15.7,49.8,106.73,3.981,0.0
1772678451.565,15.4,51.2,107.74,1.004,0.0
1772678451.628,15.8,49.6,107.20,0.533,0.0
1772678451.693,15.4,51.3,107.50,0.301,0.0
1772678451.754,16.4,48.1,104.09,3.414,0.0
1772678451.817,15.8,50.1,104.15,0.066,0.0
1772678451.877,16.7,47.0,109.86,5.704,0.0
1772678451.940,16.1,49.3,108.70,1.160,0.0
1772678452.001,16.3,47.9,107.44,1.261,0.0
1772678452.061,16.7,46.9,111.82,4.379,0.0
1772678452.125,15.6,50.5,104.94,6.878,0.0
1772678452.186,16.3,48.1,107.20,2.261,0.0
1772678452.248,16.0,49.1,107.56,0.364,0.0
1772678452.310,16.2,47.6,104.59,2.972,0.0
1772678452.377,15.1,52.3,104.51,0.078,0.0
1772678452.442,15.3,51.7,103.35,1.161,0.0
1772678452.508,15.3,51.1,106.06,2.710,0.0
1772678452.591,11.9,70.5,104.04,2.020,0.0
1772678452.653,16.3,48.8,110.57,6.522,0.0
